附件5,,,,,,,,,,,,
中国电信移动网191H码汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
广西,玉林,775,775,,,,800-819,,,265-279、500-549、750-759,,
广西,梧州,774,774,,730-769,,,,,200-219、740-749,,
广西,桂林,773,773、783,,,,290-299、420-439,,750-799,730-739、830-839,,
广西,柳州,772,772,,,,270-289,,570-579、700-749,720-729,,
广西,贺州,774,784,,,,,240-244,,250-254、840-849,,770-799
广西,北海,779,779、789,,,,,,,640-649、790-799,,
广西,贵港,775,785,,,,820-839,,,550-599、850-859,,
广西,崇左,771,781,,,,,,240-249,255-259,,700-709、750-769
广西,来宾,772,782,,,,,245-259,,260-264、800-829,,
新疆,乌鲁木齐,991,991,,,,,,,,,910、925
新疆,奎屯,992,900、992,,,,,,,,,913
新疆,石河子,993,993,,,,,,,,,024、912
新疆,昌吉,994,904-905、994,,,,,,,,,010-014、020-021、045、060-061、911、914、918-919、940-943、945、970-972
新疆,吐鲁番,995,995,,,,,,,,,954
新疆,库尔勒,996,,,,,,,,,,
新疆,阿克苏,997,907、997,,,,,,,,,
新疆,喀什,998,998,,,,,,,,,950
新疆,克拉玛依,990,990,,,,,,,,,030、044、917
新疆,塔城,901,901,,,,,,,,,
新疆,伊犁,999,999,,,,,,,,,046-047、090、915、951-952
新疆,克州,908,908,,,,,,,,,974
新疆,巴州,996,996,,,,,,,,,031-032、040-042、064、080-083、916、920-924
新疆,哈密,902,902,,,,,,,,,022-023、033、049、062、944
新疆,和田,903,903,,,,,,,,,034、043、063、084、093、953、973
新疆,阿勒泰,906,906,,,,,,,,,048
新疆,博乐,909,909,,,,,,,,,091-092、094
重庆,重庆,23,230-239,200-299、500-569,200-399,,220-239、400-419、600-639,,,,,
江西,南昌,791,791,,,,200-203,,,050-051、910-919,,
江西,九江,792,702、706、792,,,,204-208,,,920-929,,
江西,抚州,794,794,,,,,,,940-949,,
江西,赣州,797,708-709、797,,,,217-219、700-709,,,054-055、900-909、970-979,,
江西,吉安,796,796,,,,,,,052、960-969,,
江西,宜春,795,795,,,,,,,950-959,,
江西,上饶,793,703-705、793,,,,209-214,,,053、930-939,,
江西,景德镇,798,798,,,,,,,980-989,,
江西,鹰潭,701,700-701,,,,215,,,,,
江西,新余,790,707、790,,,,216,,,,,
江西,萍乡,799,799,,,,,,,990-999,,
甘肃,兰州,931,931、940,,,,,,,,,310-319、329、333、349
甘肃,庆阳,934,934,,,,,,,,,340-348
甘肃,陇南,939,939,,,,,,,,,390-393
甘肃,酒泉,937,937,,,,,,,,,370-371
甘肃,金昌,935,,,,,,,,,,350-351
